prompt_id,domain,n_draft,acceptance_rate,tokens_per_sec,latency
p1,alpaca,0,0.0,4.2579,3.5228
p1,alpaca,2,0.9091,8.721,1.72
p1,alpaca,4,0.75,10.1229,1.4818
p1,alpaca,8,0.7222,10.8581,1.3815
p2,writing_prompts,0,0.0,4.5724,3.2805
p2,writing_prompts,2,0.75,8.336,1.7994
p2,writing_prompts,4,0.5789,8.1089,1.8498
p2,writing_prompts,8,0.4444,7.8081,1.9211
p3,alpaca,0,0.0,4.5627,3.2875
p3,alpaca,2,0.9091,8.491,1.7666
p3,alpaca,4,0.75,9.86,1.5213
p3,alpaca,8,0.65,9.945,1.5083
p4,alpaca,0,0.0,4.4946,3.3373
p4,alpaca,2,0.9091,8.2982,1.8076
p4,alpaca,4,0.75,9.9885,1.5017
p4,alpaca,8,0.65,10.5011,1.4284
p5,alpaca,0,0.0,4.4094,3.4018
p5,alpaca,2,0.75,8.0053,1.8738
p5,alpaca,4,0.55,7.7889,1.9258
p5,alpaca,8,0.3438,6.8366,2.1941
p6,alpaca,0,0.0,4.6646,3.2157
p6,alpaca,2,0.8333,8.6431,1.7355
p6,alpaca,4,0.8,10.6727,1.4054
p6,alpaca,8,0.5417,9.7663,1.5359
p7,alpaca,0,0.0,4.6737,3.2094
p7,alpaca,2,1.0,10.1739,1.4744
p7,alpaca,4,0.7857,11.0621,1.356
p7,alpaca,8,0.6316,11.4898,1.3055
p8,alpaca,0,0.0,4.6014,3.2599
p8,alpaca,2,0.8182,8.7197,1.7202
p8,alpaca,4,0.5556,8.6811,1.7279
p8,alpaca,8,0.3548,7.5229,1.9939
p9,alpaca,0,0.0,4.6974,3.1933
p9,alpaca,2,0.8333,8.466,1.7718
p9,alpaca,4,0.6471,8.5143,1.7618
p9,alpaca,8,0.7222,10.7933,1.3898
p10,alpaca,0,0.0,4.4348,3.3823
p10,alpaca,2,1.0,9.1165,1.6454
p10,alpaca,4,1.0,12.8249,1.1696
p10,alpaca,8,1.0,14.6781,1.0219
p11,alpaca,0,0.0,4.0329,3.7194
p11,alpaca,2,1.0,8.8642,1.6922
p11,alpaca,4,1.0,11.7854,1.2728
p11,alpaca,8,0.9286,13.4183,1.1179
p12,alpaca,0,0.0,3.871,3.8749
p12,alpaca,2,0.75,6.9765,2.1501
p12,alpaca,4,0.5789,6.5808,2.2794
p12,alpaca,8,0.4444,6.322,2.3727
p13,alpaca,0,0.0,3.7159,4.0367
p13,alpaca,2,0.9091,6.8139,2.2014
p13,alpaca,4,0.6111,6.7224,2.2314
p13,alpaca,8,0.3871,5.718,2.6233
p14,alpaca,0,0.0,4.4876,3.3426
p14,alpaca,2,0.3529,5.571,2.6925
p14,alpaca,4,0.2593,5.1121,2.9342
p14,alpaca,8,0.1489,3.9414,3.8058
p15,alpaca,0,0.0,4.6425,3.231
p15,alpaca,2,0.6923,7.459,2.011
p15,alpaca,4,0.7333,9.0738,1.6531
p15,alpaca,8,0.5,8.5698,1.7503
p16,alpaca,0,0.0,4.6772,3.207
p16,alpaca,2,1.0,10.5746,1.4185
p16,alpaca,4,0.9231,11.1742,1.3424
p16,alpaca,8,1.0,16.0507,0.9345
p17,alpaca,0,0.0,4.166,3.6005
p17,alpaca,2,0.6923,6.3387,2.3664
p17,alpaca,4,0.4545,6.1302,2.4469
p17,alpaca,8,0.2821,5.0248,2.9852
p18,alpaca,0,0.0,4.0231,3.7285
p18,alpaca,2,1.0,8.8344,1.6979
p18,alpaca,4,1.0,11.9009,1.2604
p18,alpaca,8,1.0,13.0632,1.1483
p19,alpaca,0,0.0,4.5755,3.2784
p19,alpaca,2,1.0,9.9027,1.5147
p19,alpaca,4,0.8571,10.2698,1.4606
p19,alpaca,8,0.6842,10.5917,1.4162
p20,alpaca,0,0.0,4.4133,3.3988
p20,alpaca,2,0.9091,8.2404,1.8203
p20,alpaca,4,0.8571,10.0364,1.4946
p20,alpaca,8,0.9333,14.2095,1.0556
p21,alpaca,0,0.0,4.4603,3.363
p21,alpaca,2,0.6923,6.887,2.178
p21,alpaca,4,0.55,7.7697,1.9306
p21,alpaca,8,0.3143,5.8366,2.57
p22,writing_prompts,0,0.0,4.1862,3.5832
p22,writing_prompts,2,0.4375,5.9564,2.5183
p22,writing_prompts,4,0.5,7.4601,2.0107
p22,writing_prompts,8,0.2703,5.4063,2.7745
p23,writing_prompts,0,0.0,4.5338,3.3085
p23,writing_prompts,2,0.75,8.346,1.7973
p23,writing_prompts,4,0.6875,9.7954,1.5313
p23,writing_prompts,8,0.6316,9.8269,1.5264
p24,writing_prompts,0,0.0,4.1692,3.5979
p24,writing_prompts,2,1.0,9.2044,1.6297
p24,writing_prompts,4,1.0,12.4728,1.2026
p24,writing_prompts,8,1.0,13.2497,1.1321
p25,writing_prompts,0,0.0,4.3597,3.4406
p25,writing_prompts,2,0.6923,7.0278,2.1344
p25,writing_prompts,4,0.5,7.7704,1.9304
p25,writing_prompts,8,0.3333,6.1085,2.4556
p26,writing_prompts,0,0.0,4.2582,3.5226
p26,writing_prompts,2,0.75,7.9442,1.8882
p26,writing_prompts,4,0.6875,9.217,1.6274
p26,writing_prompts,8,0.5,8.6203,1.7401
p27,writing_prompts,0,0.0,4.0933,3.6645
p27,writing_prompts,2,0.5333,5.795,2.5885
p27,writing_prompts,4,0.4167,5.9162,2.5354
p27,writing_prompts,8,0.2439,4.5425,3.3022
p28,writing_prompts,0,0.0,4.161,3.6049
p28,writing_prompts,2,0.8182,7.7367,1.9388
p28,writing_prompts,4,0.45,6.0244,2.4899
p28,writing_prompts,8,0.55,7.9816,1.8793
p29,writing_prompts,0,0.0,4.0742,3.6817
p29,writing_prompts,2,0.5333,5.4552,2.7497
p29,writing_prompts,4,0.55,6.8702,2.1833
p29,writing_prompts,8,0.3438,5.5321,2.7115
p30,writing_prompts,0,0.0,4.1273,3.6343
p30,writing_prompts,2,0.6923,6.4171,2.3375
p30,writing_prompts,4,0.4167,5.697,2.633
p30,writing_prompts,8,0.3548,5.5516,2.7019
p31,writing_prompts,0,0.0,4.3836,3.4218
p31,writing_prompts,2,0.6923,6.8354,2.1945
p31,writing_prompts,4,0.6111,7.9417,1.8888
p31,writing_prompts,8,0.3871,6.8415,2.1925
p32,writing_prompts,0,0.0,4.1851,3.5841
p32,writing_prompts,2,0.6923,6.5665,2.2843
